PamKlgMap1I	2024-03-10	N	Series|NA|Idol Throwdown|v. 3.0	
5229	so	VanArtic	fu	Edward Yolag	2
5380	so	VanArtic	fu	Edward Yolag	1
5569	so	VanArtic	fu	Edward Yolag	2
5756	so	VanArtic	fu	Edward Yolag	2
5973	so	VanArtic	fu	Edward Yolag	1
6195	so	VanArtic	fu	Edward Yolag	1

cybFkbnTcX8	2023-05-13	N	v. 1.0|SA|Primer Torneo	
41	ko	Chente	ko	Rosi_CL	2
180	ko	Chente	ko	Rosi_CL	1

T1VRkmSFWVQ	2023-05-13	N	v. 1.0|SA|Primer Torneo	
32	bo	Bandana	so	cloudfgc	2
163	bo	Bandana	so	cloudfgc	2

qiOI7ibsY8Y	2023-05-13	N	v. 1.0|SA|Primer Torneo	
37	su	ZettaS	ko	Chente	2
196	su	ZettaS	ko	Chente	1
355	su	ZettaS	ko	Chente	1

mghK5B1JZNI	2023-05-13	N	v. 1.0|SA|Primer Torneo	
25	ay	GrayFokxx	so	cloudfgc	1
184	ay	GrayFokxx	so	cloudfgc	1

nlXXSVejOh0	2023-05-13	N	v. 1.0|SA|Primer Torneo	
19	ko	Chente	su	Zean the One	1
214	ko	Chente	su	Zean the One	1

RNQa2Xbd1c0	2023-05-13	N	v. 1.0|SA|Primer Torneo	
60	ay	GrayFokxx	su	ZettaS	1
182	ay	GrayFokxx	su	ZettaS	2
273	ay	GrayFokxx	su	ZettaS	2
435	ay	GrayFokxx	su	ZettaS	2

tIYUNDOnFQE	2023-05-13	N	v. 1.0|SA|Primer Torneo	
43	ko	Chente	ay	GrayFokxx	2
164	ko	Chente	ay	GrayFokxx	1
281	ko	Chente	ay	GrayFokxx	2
380	ko	Chente	ay	GrayFokxx	2
485	ko	Chente	ay	GrayFokxx	2

INstPgN302E	2023-05-13	N	v. 1.0|SA|Primer Torneo	
36	ay	GrayFokxx	su	ZettaS	2
131	ay	GrayFokxx	su	ZettaS	2
234	ay	GrayFokxx	su	ZettaS	2

oid_f-n9g94	2023-05-20	N	v. 1.0|SA|Series|HoloSud Showdown	
36	ay	Corwar	ay	SebaZXup	2
126	ay	Corwar	ay	SebaZXup	2
292	ay	Corwar	ay	SebaZXup	1
446	ay	Corwar	ay	SebaZXup	2

ORak8cAcM88	2023-05-20	N	v. 1.0|SA|Series|HoloSud Showdown	
37	su	Zean the One	bo	Benjakiller	2
151	su	Zean the One	bo	Benjakiller	1
238	su	Zean the One	bo	Benjakiller	1
354	su	Zean the One	bo	Benjakiller	2
491	su	Zean the One	bo	Benjakiller	1

oSaN1ZL4u8Y	2023-05-29	N	v. 1.0|SA|Series|HoloSud Showdown	
