PamKlgMap1I	2024-03-10	N	Series|NA|Idol Throwdown|v. 3.0	
13	ay	penpen	su	Koushun	2
216	ay	penpen	su	Koushun	2

KBQcYC8lEmE	2023-12-02	N	Series|JP/SEA|Japan Night Showdown|v. 3.0	
13	bo	Pistolkarate	ak	LLon_Nu13	1
195	bo	Pistolkarate	ak	LLon_Nu13	2
358	bo	Pistolkarate	ak	LLon_Nu13	1

iRlqLK1K2JI	2023-12-02	N	Series|JP/SEA|Japan Night Showdown|v. 3.0	
17	bo	Pistolkarate	ko	Luchan	1
138	bo	Pistolkarate	ko	Luchan	1

y0NzxNtsNmU	2023-12-02	N	Series|JP/SEA|Japan Night Showdown|v. 3.0	
14	ak	tetora	ko	Luchan	2
162	ak	tetora	ko	Luchan	1
314	ak	tetora	ko	Luchan	2

nFfBN3rIUOw	2023-12-02	N	Series|JP/SEA|Japan Night Showdown|v. 3.0	
18	bo	Pistolkarate	bo	heavy_ixia	2
172	bo	Pistolkarate	bo	heavy_ixia	1
297	bo	Pistolkarate	bo	heavy_ixia	1

MQinR7aebas	2023-11-18	N	Series|JP/SEA|Japan Night Showdown|v. 3.0	
12	ak	tetora	pe	Bob	2
140	ak	tetora	pe	Bob	2

FLkI-tCCTd0	2023-11-18	N	Series|JP/SEA|Japan Night Showdown|v. 3.0	
14	pe	Bob	ko	Luchan	1
130	pe	Bob	ko	Luchan	2
309	pe	Bob	ko	Luchan	2

Cmp1Cztiuxo	2023-11-18	N	Series|JP/SEA|Japan Night Showdown|v. 3.0	
23	bo	heavy_ixia	ko	Luchan	2
127	bo	heavy_ixia	ko	Luchan	2

PnivBhnnesk	2023-11-18	N	Series|JP/SEA|Japan Night Showdown|v. 3.0	
19	ol	EmErgy	pe	Bob	2
103	ol	EmErgy	pe	Bob	2

thAeJihVGT4	2023-11-18	N	Series|JP/SEA|Japan Night Showdown|v. 3.0	
13	ak	LLon_Nu13	ol	EmErgy	2
118	ak	LLon_Nu13	ol	EmErgy	1
211	ak	LLon_Nu13	ol	EmErgy	2

CVp0sAllwgw	2023-07-22	N	Series|JP/SEA|Japan Night Showdown|v. 1.3	
39	so	matoi	so	deltaex	2
188	so	matoi	so	deltaex	1
286	so	matoi	so	deltaex	1

oMXtezAvGLs	2023-07-22	N	Series|JP/SEA|Japan Night Showdown|v. 1.3	
28	so	deltaex	ko	Luchan	1
242	so	deltaex	ko	Luchan	1

gGsCyIMZ0ak	2023-07-22	N	Series|JP/SEA|Japan Night Showdown|v. 1.3	
26	so	matoi	co	Wagon	1
153	so	matoi	co	Wagon	1

vGQg1DzzTYI	2023-07-08	N	Series|JP/SEA|Japan Night Showdown|v. 1.3	
20	so	deltaex	ko	Luchan	2
180	so	deltaex	ko	Luchan	2

dwTVB2ockrg	2024-03-31	N	Series|JP/SEA|Japan Night Showdown|v. 3.0	
18	co	AOI	ko	Luchan	1
98	co	AOI	ko	Luchan	2
232	co	AOI	ko	Luchan	2

X_BOvQLNG20	2023-10-21	N	Series|JP/SEA|Japan Night Showdown|v. 2.0	
13	pe	Bob	ak	tetora	1
83	pe	Bob	ak	tetora	1

y-8xV1waTKE	2023-10-21	N	Series|JP/SEA|Japan Night Showdown|v. 2.0	
12	pe	Bob	su	Koushun	1
130	pe	Bob	su	Koushun	1
283	pe	Bob	su	Koushun	1

B1pBuB61bgs	2023-10-21	N	Series|JP/SEA|Japan Night Showdown|v. 2.0	
12	pe	Bob	bo	heavy_ixia	1
119	pe	Bob	bo	heavy_ixia	1

Lb6ib5ZpePk	2023-07-14	N	Series|NA|Idol Throwdown|v. 1.3	
941	so	Vale47	fu	Violingolfer	2
1086	so	Vale47	fu	Violingolfer	2
1317	ay	SBZ	ay	LukeSFL	1
1431	ay	SBZ	ay	LukeSFL	2
1579	ay	SBZ	ay	LukeSFL	1
2024	bo	Gigadrill	fu	Violingolfer	1
2223	bo	Gigadrill	fu	Violingolfer	1
2498	su	Omnisscythe	ay	Bloo	1
2696	su	Omnisscythe	ay	Bloo	1
3036	ay	Ameraith	su	deadbush	1
3147	ay	Ameraith	su	deadbush	1
3454	fu	Violingolfer	ko	Lucy	2
4012	fu	Violingolfer	ko	Lucy	2
4357	su	Omnisscythe	bo	Gigadrill	2
4508	su	Omnisscythe	bo	Gigadrill	2
4785	ay	SBZ	ay	Ameraith	1
4900	ay	SBZ	ay	Ameraith	2
5030	ay	SBZ	ay	Ameraith	1
5462	ko	Airvent	co	Lucy	2
5620	ko	Airvent	co	Lucy	2
5916	fu	Megadosage	su	Deadbush	1
6037	fu	Megadosage	su	Deadbush	1
6352	co	Lucy	ay	Ameraith	1
6463	co	Lucy	ay	Ameraith	1
6871	su	Omnisscythe	fu	Megadosage	2
7055	su	Omnisscythe	fu	Megadosage	2
7309	ay	SBZ	bo	Gigadrill	1
7495	ay	SBZ	fu	Gigadrill	2
7622	ay	SBZ	fu	Gigadrill	1
7741	ay	SBZ	fu	Gigadrill	2
7941	ay	SBZ	fu	Gigadrill	2
8289	co	Lucy	fu	Megadosage	1
8457	co	Lucy	fu	Megadosage	2
8659	co	Lucy	fu	Megadosage	1
8992	su	DFAxCalamity	su	Skylight	1
9156	su	DFAxCalamity	su	Skylight	1
9252	su	DFAxCalamity	su	Skylight	1
9505	co	Lucy	ay	SBZ	1
9578	co	Lucy	ay	SBZ	2
9745	co	Lucy	ay	SBZ	1
9862	co	Lucy	ay	SBZ	1
10149	co	Lucy	fu	Gigadrill	1
10366	co	Lucy	fu	Gigadrill	2
10542	co	Lucy	fu	Gigadrill	1
10711	co	Lucy	fu	Gigadrill	1
10831	co	Lucy	fu	Gigadrill	2
10963	co	Lucy	fu	Gigadrill	2
11167	ko	Lucy	fu	Gigadrill	2

Cy_XUOIY610	2023-07-22	N	Series|NA|Idol Throwdown|v. 1.3	
220	bo	Merp	co	Furemu	1
398	bo	Merp	co	Furemu	2
555	bo	Merp	co	Furemu	1
917	ko	J3	ko	irisisscrambled	1
1272	ko	J3	ko	irisisscrambled	1
1520	fu	TurtleAndBeyond	su	Skylight	1
1678	fu	TurtleAndBeyond	su	Skylight	1
1976	ko	Airvent	fu	Gigadrill	2
2265	ko	Airvent	fu	Gigadrill	1
2516	ko	Airvent	fu	Gigadrill	2
2947	so	Primity	ko	Boom Divorced	2
3090	so	Primity	ko	Boom Divorced	2
3377	ko	J3	ko	Mastah_CJ	1
3525	ko	J3	so	Mastah_CJ	1
3855	su	Lucy	fu	TurtleAndBeyond	2
3985	co	Lucy	fu	TurtleAndBeyond	1
4062	co	Lucy	fu	TurtleAndBeyond	1
4442	ko	J3	fu	Gigadrill	2
4645	ko	J3	fu	Gigadrill	1
4785	ko	J3	fu	Gigadrill	1
5321	su	Lucy	ko	Boom Divorced	1
5431	su	Lucy	ko	Boom Divorced	1
6080	so	Primity	ay	LukeSFL	1
6215	so	Primity	ay	LukeSFL	1
6753	ko	Airvent	ko	Boom Divorced	1
6885	ko	Airvent	ko	Boom Divorced	1
7214	so	Primity	fu	Gigadrill	1
7437	so	Primity	fu	Gigadrill	2
7648	so	Primity	fu	Gigadrill	2
7989	so	Wonder_Chef	co	Furemu	2
8148	so	Wonder_Chef	co	Furemu	2
8288	so	Wonder_Chef	co	Furemu	2
8584	ko	Airvent	bo	Gigadrill	2
8691	ko	Airvent	bo	Gigadrill	2
8921	co	Lucy	ko	J3	2
9073	co	Lucy	ko	J3	2
9249	su	Lucy	ko	J3	2
9633	co	Lucy	bo	Gigadrill	1
10091	co	Lucy	bo	Gigadrill	2
10228	co	Lucy	bo	Gigadrill	1
10409	co	Lucy	bo	Gigadrill	1
10641	co	Lucy	ko	J3	1
10844	co	Lucy	ko	J3	1
10978	co	Lucy	ko	J3	2
11108	co	Lucy	ko	J3	2
11258	co	Lucy	ko	J3	2

skAbDR7G9h0	2023-08-19	N	Series|NA|Idol Throwdown|v. 2.0	
764	bo	Library	su	DFAxCalamity	2
949	bo	Library	su	DFAxCalamity	1
1060	bo	Library	su	DFAxCalamity	1
1387	ay	SBZ	bo	TripExplosion	1
1539	ay	SBZ	bo	TripExplosion	1
1974	ko	Mastah_CJ	su	deadbush	1
2096	ko	Mastah_CJ	su	deadbush	1
2451	co	Lucy	pe	lunar	1
2619	co	Lucy	pe	lunar	1
2992	pe	Mikkokoro	ko	Mastah_CJ	2
3158	ak	Mikkokoro	ko	Mastah_CJ	1
3603	ak	Mikkokoro	ko	Mastah_CJ	1
3974	bo	Library	ko	Boom Divorced	2
4097	bo	Library	ko	Boom Divorced	1
4395	bo	Library	ko	Boom Divorced	1
4763	ay	SBZ	pe	Gigadrill	1
4937	ay	SBZ	pe	Gigadrill	2
5036	ay	SBZ	pe	Gigadrill	2
5256	co	Lucy	pe	Mikkokoro	1
5480	co	Lucy	pe	Mikkokoro	2
5712	su	Lucy	pe	Mikkokoro	1
5979	bo	Library	pe	Gigadrill	1
6243	bo	Library	pe	Gigadrill	1
6748	pe	Airvent	pe	Ameraith	1
6997	pe	Airvent	ay	Ameraith	1
7255	pe	Mastah_CJ	pe	HyperHICO	1
7387	pe	Mastah_CJ	pe	HyperHICO	1
7656	bo	Bloo	ay	Bweans	1
7968	bo	Bloo	ay	Bweans	1
8193	bo	Bloo	ay	Bweans	2
8401	ay	Bloo	ay	Bweans	1
8756	ko	Airvent	ak	Mikkokoro	2
8862	ko	Airvent	ak	Mikkokoro	2
9100	fu	Gigadrill	pe	Mastah_CJ	1
9224	fu	Gigadrill	ko	Mastah_CJ	2
9460	fu	Gigadrill	ko	Mastah_CJ	2
10001	co	Lucy	bo	Library	2
10261	co	Lucy	bo	Library	2
11059	pe	Mastah_CJ	ak	Mikkokoro	2
11187	so	Mastah_CJ	ak	Mikkokoro	2
11595	su	Lucy	pe	Mikkokoro	2
11778	co	Lucy	pe	Mikkokoro	1
11956	co	Lucy	ak	Mikkokoro	2
12075	co	Lucy	ak	Mikkokoro	2
12321	ak	Mikkokoro	bo	Library	2
12450	ak	Mikkokoro	bo	Library	1
12585	ak	Mikkokoro	bo	Library	1
12694	ak	Mikkokoro	bo	Library	2
12803	ak	Mikkokoro	bo	Library	2

PX4_1dmEdb8	2024-03-31	N	Series|JP/SEA|Japan Night Showdown|v. 3.0	
16	pe	Bob	ko	Luchan	1
125	pe	Bob	ko	Luchan	1

U4nfIChnlok	2023-10-21	N	Series|JP/SEA|Japan Night Showdown|v. 2.0	
15	pe	Bob	ak	tetora	1
158	pe	Bob	ak	tetora	1

f8aNGYwHk8U	2023-10-21	N	Series|JP/SEA|Japan Night Showdown|v. 2.0	
13	ak	tetora	bo	heavy_ixia	2
187	ak	tetora	bo	heavy_ixia	1
363	ak	tetora	bo	heavy_ixia	1

0QncY1pYBzk	2023-10-21	N	Series|JP/SEA|Japan Night Showdown|v. 2.0	
11	co	kou_yeah	pe	Bob	1
111	co	kou_yeah	pe	Bob	2
267	co	kou_yeah	pe	Bob	2

54_diXF3u1M	2023-10-21	N	Series|JP/SEA|Japan Night Showdown|v. 2.0	
16	bo	Pistolkarate	bo	heavy_ixia	1
205	bo	Pistolkarate	bo	heavy_ixia	2
347	bo	Pistolkarate	bo	heavy_ixia	2

XwXNnXWpTOA	2023-09-01	N	Series|NA|Idol Throwdown|v. 2.0	
600	so	Primity	fu	idain	1
695	so	Primity	fu	idain	1
1020	bo	Library	su	Skylight	1
1204	bo	Library	su	Skylight	1
1511	co	Lucy	fu	Chzchan	1
1688	co	Lucy	fu	Chzchan	1
1920	so	Primity	ay	Ameraith	1
2104	so	Primity	ay	Ameraith	1
2467	fu	Violingolfer	su	Gigadrill	2
2648	fu	Violingolfer	su	Gigadrill	2
2893	bo	Library	so	Primity	1
3096	bo	Library	so	Primity	1
3365	co	Lucy	pe	Gigadrill	2
3583	su	Lucy	pe	Gigadrill	2
3863	fu	Violingolfer	fu	Chzchan	2
4037	fu	Violingolfer	fu	Chzchan	2
4417	su	Skylight	ay	Ameraith	2
4524	su	Skylight	ay	Ameraith	1
4653	su	Skylight	ay	Ameraith	1
5053	fu	Chzchan	so	Primity	1
5201	fu	Chzchan	so	Primity	2
5360	fu	Chzchan	so	Primity	2
5656	co	Lucy	su	Skylight	1
5748	co	Lucy	su	Skylight	1
6134	co	Lucy	so	Primity	1
6384	co	Lucy	so	Primity	1
6736	bo	Library	fu	Gigadrill	2
6837	bo	Library	fu	Gigadrill	1
7000	bo	Library	fu	Gigadrill	2
7342	bo	Library	fu	Gigadrill	2
7831	fu	alexpi	ko	Boom Divorced	2
8016	fu	alexpi	ko	Boom Divorced	1
8164	fu	alexpi	ko	Boom Divorced	2
8296	fu	alexpi	ko	Boom Divorced	2
8625	co	Lucy	bo	Library	1
8813	co	Lucy	bo	Library	1
9050	co	Lucy	bo	Library	1
9371	ak	Lucy	pe	Gigadrill	2
9579	ak	Lucy	pe	Gigadrill	1
9815	ak	Lucy	pe	Gigadrill	1
9990	ak	Lucy	pe	Gigadrill	2
10254	ak	Lucy	pe	Gigadrill	2

yQN37EetgN4	2024-03-17	N	v. 3.0|SA|Series|Idol Arena|Exhibition	
325	ay	RoyTase	so	Udo5678	2
456	ay	RoyTase	so	Udo5678	2
580	ay	RoyTase	so	Udo5678	2
780	ay	RoyTase	so	Udo5678	2
947	ay	RoyTase	so	Udo5678	2

ocjsXXYfSnE	2024-03-17	N	v. 3.0|SA|Series|Idol Arena|Exhibition	
19	ko	Cris	so	Richi87	1
339	ko	Cris	so	Richi87	1
576	ko	Cris	so	Richi87	2
654	ko	Cris	so	Richi87	2
768	ko	Cris	so	Richi87	2
889	ko	Cris	so	Richi87	1
1095	ko	Cris	so	Richi87	2
1260	ko	Cris	so	Richi87	2

xVPiLWvcwiA	2024-03-17	N	v. 3.0|SA|Series|Idol Arena|Exhibition	
26	ak	Mukyo	su	PratesKun	2
141	ak	Mukyo	su	PratesKun	2
348	ak	Mukyo	su	PratesKun	2
554	ak	Mukyo	su	PratesKun	1
672	ak	Mukyo	su	PratesKun	1
869	ak	Mukyo	su	PratesKun	1
1073	ak	Mukyo	su	PratesKun	1
1224	ak	Mukyo	su	PratesKun	2
1404	ak	Mukyo	su	PratesKun	1
1546	ak	Mukyo	su	PratesKun	2
1746	ak	Mukyo	su	PratesKun	2
1886	ak	Mukyo	su	PratesKun	1
2109	ak	Mukyo	su	PratesKun	1

_9d3brMK6hQ	2024-03-17	N	v. 3.0|SA|Series|Idol Arena|Exhibition	
20	ay	Beltenebris	bo	Seishin	1
223	ay	Beltenebris	bo	Seishin	1
354	ay	Beltenebris	bo	Seishin	1
468	ay	Beltenebris	bo	Seishin	2
597	ay	Beltenebris	bo	Seishin	1
804	ay	Beltenebris	bo	Seishin	1
911	ay	Beltenebris	bo	Seishin	1
1061	ay	Beltenebris	bo	Seishin	1
1325	ay	Beltenebris	bo	Seishin	1
1464	ay	Beltenebris	bo	Seishin	1
1648	ay	Beltenebris	bo	Seishin	1

JRq9OHIUezQ	2024-03-17	N	v. 3.0|SA|Series|Idol Arena|Exhibition	
216	so	TotoroXVI	fu	Luketaa	1
312	so	TotoroXVI	fu	Luketaa	1
524	so	TotoroXVI	fu	Luketaa	2
699	fu	TotoroXVI	fu	Luketaa	1
811	fu	TotoroXVI	fu	Luketaa	2
988	so	TotoroXVI	fu	Luketaa	2
1150	so	TotoroXVI	fu	Luketaa	2

ukDL1m4gky8	2024-03-17	N	v. 3.0|SA|Series|Idol Arena|Exhibition	
66	pe	NoisyBoy2020	fu	K.O.D.	2
159	pe	NoisyBoy2020	fu	K.O.D.	2
284	pe	NoisyBoy2020	fu	K.O.D.	2
411	pe	NoisyBoy2020	fu	K.O.D.	2
518	pe	NoisyBoy2020	fu	K.O.D.	2
645	pe	NoisyBoy2020	fu	K.O.D.	2
783	pe	NoisyBoy2020	fu	K.O.D.	2

1oxUp3gCvD4	2024-03-17	N	v. 3.0|SA|Series|Idol Arena|Exhibition	
23	ko	MDX	ak	Ajosac96	1
114	ko	MDX	ak	Ajosac96	1
219	ko	MDX	ak	Ajosac96	1
326	ko	MDX	ak	Ajosac96	1
437	ko	MDX	ak	Ajosac96	2
661	ko	MDX	ak	Ajosac96	1
798	ko	MDX	ak	Ajosac96	1
951	ko	MDX	ak	Ajosac96	2
1129	ko	MDX	ak	Ajosac96	1
1261	ko	MDX	ak	Ajosac96	2
1401	ko	MDX	ak	Ajosac96	2
1568	ko	MDX	ak	Ajosac96	1
1690	ko	MDX	ak	Ajosac96	1
1878	ko	MDX	ak	Ajosac96	2
1998	ko	MDX	ak	Ajosac96	1

6HOmtz2extE	2024-03-31	N	v. 3.0|SA|Series|Idol Arena|Exhibition	
948	bo	Seishin	pe	LudgerKant	2
1130	bo	Seishin	pe	LudgerKant	2
1309	bo	Seishin	pe	LudgerKant	2
1435	bo	Seishin	pe	LudgerKant	1
1599	bo	Seishin	pe	LudgerKant	2
1827	bo	Seishin	pe	LudgerKant	1
1964	bo	Seishin	pe	LudgerKant	1
2113	bo	Seishin	pe	LudgerKant	2
2379	pe	LudgerKant	ko	MDX	1
2513	pe	LudgerKant	ko	MDX	1
2668	pe	LudgerKant	ko	MDX	1
2801	pe	LudgerKant	ko	MDX	2
3012	pe	LudgerKant	ko	MDX	1
3217	pe	LudgerKant	ko	MDX	1
5974	ak	Mukyo	ko	MDX	2
6078	ak	Mukyo	ko	MDX	1
6186	ak	Mukyo	ko	MDX	1
6305	ak	Mukyo	ko	MDX	1
6422	ak	Mukyo	ko	MDX	1

KYhXJnxo7ZY	2023-09-16	N	Series|NA|Idol Throwdown|v. 2.0	
950	su	Skylight	ko	wazim	2
1058	su	Skylight	ko	wazim	1
1171	su	Skylight	ko	wazim	2
1670	co	CrunchyFrog	bo	Library	2
1791	co	CrunchyFrog	bo	Library	1
1908	co	CrunchyFrog	bo	Library	2
2175	so	Primity	su	Crystal	1
2303	so	Primity	su	Crystal	1
2674	fu	Chzchan	pe	Gogibahp	1
2794	fu	Chzchan	pe	Gogibahp	1
3150	fu	Gigadrill	ko	wazim	1
3387	fu	Gigadrill	ko	wazim	1
3722	bo	Library	so	Primity	2
3954	bo	Library	so	Primity	1
4115	bo	Library	so	Primity	2
4464	pe	Mikkokoro	fu	Chzchan	2
4714	ak	Mikkokoro	fu	Chzchan	1
4813	ak	Mikkokoro	fu	Chzchan	2
5258	ay	Bloo	ko	wazim	2
5531	ay	Bloo	ko	wazim	2
5868	so	Primity	fu	Gigadrill	2
6161	so	Primity	fu	Gigadrill	2
6387	co	Lucy	fu	Chzchan	1
6679	co	Lucy	fu	Chzchan	1
7055	bo	Library	ko	wazim	1
7391	bo	Library	ko	wazim	1
7850	co	CrunchyFrog	ak	Mikkokoro	2
8038	co	CrunchyFrog	ak	Mikkokoro	2
8400	bo	Library	fu	Chzchan	1
8529	bo	Library	fu	Chzchan	1
8875	ak	Mikkokoro	so	Primity	1
9189	ak	Mikkokoro	so	Primity	2
9302	ak	Mikkokoro	so	Primity	1
9545	su	Crystal	fu	Violingolfer	1
9706	su	Crystal	fu	Violingolfer	1
9852	su	Crystal	fu	Violingolfer	1
10158	co	Lucy	fu	Gigadrill	1
10376	co	Lucy	fu	Gigadrill	1
10507	co	Lucy	fu	Gigadrill	2
10697	co	Lucy	fu	Gigadrill	1
11030	bo	Library	ak	Mikkokoro	2
11267	bo	Library	ak	Mikkokoro	2
11507	ak	Mikkokoro	su	Gigadrill	2
11736	pe	Mikkokoro	su	Gigadrill	2
11926	ak	Mikkokoro	su	Gigadrill	2
12179	co	Lucy	su	Gigadrill	1
12456	co	Lucy	su	Gigadrill	1
12566	co	Lucy	su	Gigadrill	1

qX-v6LPdCIY	2023-10-07	N	Series|NA|Idol Throwdown|v. 2.0	
351	ko	wazim	su	souyoto	1
565	ko	wazim	su	souyoto	1
858	so	Wonder_Chef	su	Crystal	2
981	so	Wonder_Chef	su	Crystal	2
1305	ko	Mastah_CJ	co	Furemu	1
1482	ko	Mastah_CJ	co	Furemu	1
1765	co	CrunchyFrog	su	Skylight	2
1883	co	CrunchyFrog	su	Skylight	2
2111	co	AaronCube	fu	Chzchan	2
2315	co	AaronCube	fu	Chzchan	2
2600	ko	wazim	so	Omergosh	1
2758	ko	wazim	so	Omergosh	1
3036	ko	Mastah_CJ	so	Primity	1
3236	ko	Mastah_CJ	so	Primity	2
3547	ko	Mastah_CJ	so	Primity	2
3890	fu	Gigadrill	su	Skylight	2
3992	fu	Gigadrill	su	Skylight	1
4343	fu	Gigadrill	su	Skylight	1
4858	fu	Chzchan	ko	Airvent	2
5055	fu	Chzchan	ko	Airvent	1
5144	fu	Chzchan	ko	Airvent	1
5414	ko	wazim	so	Primity	1
5605	ko	wazim	so	Primity	2
5732	ko	wazim	so	Primity	2
6101	so	Gigadrill	fu	Chzchan	2
6333	so	Gigadrill	fu	Chzchan	1
6608	so	Gigadrill	fu	Chzchan	1
6999	fu	Violingolfer	co	CrunchyFrog	2
7182	fu	Violingolfer	co	CrunchyFrog	2
7311	fu	Violingolfer	co	CrunchyFrog	2
7655	su	DFAxCalamity	ko	Mastah_CJ	2
7814	su	DFAxCalamity	ko	Mastah_CJ	2
8179	su	Level5-JeepChan	ko	Skylight	1
8355	su	Level5-JeepChan	ko	Skylight	1
8645	ko	Mastah_CJ	fu	Chzchan	1
8823	ko	Mastah_CJ	fu	Chzchan	1
9059	ko	wazim	su	Level5-JeepChan	2
9189	ko	wazim	su	Level5-JeepChan	1
9347	ko	wazim	su	Level5-JeepChan	2
9737	fu	Gigadrill	so	Primity	1
9844	fu	Gigadrill	so	Primity	2
10059	fu	Gigadrill	so	Primity	1
10171	fu	Gigadrill	so	Primity	2
10371	fu	Gigadrill	so	Primity	1
10609	ko	Mastah_CJ	su	Level5-JeepChan	1
10822	ko	Mastah_CJ	su	Level5-JeepChan	1
11011	ko	Mastah_CJ	so	Primity	1
11112	ko	Mastah_CJ	so	Primity	2
11330	ko	Mastah_CJ	so	Primity	2
11559	ko	Mastah_CJ	so	Primity	1
11749	ko	Mastah_CJ	so	Primity	1
12114	fu	Gigadrill	ko	Mastah_CJ	1
12410	fu	Gigadrill	ko	Mastah_CJ	1
12561	fu	Gigadrill	ko	Mastah_CJ	2
12882	fu	Gigadrill	ko	Mastah_CJ	2
12997	fu	Gigadrill	ko	Mastah_CJ	2
13147	ko	Mastah_CJ	fu	Gigadrill	1
13561	ko	Mastah_CJ	fu	Gigadrill	2
13743	ko	Mastah_CJ	fu	Gigadrill	1
14075	ko	Mastah_CJ	fu	Gigadrill	2
14233	ko	Mastah_CJ	fu	Gigadrill	1

ymjd07zXBPM	2024-03-31	N	Series|JP/SEA|Japan Night Showdown|v. 3.0	
25	ko	ryesuta	pe	Bob	2
165	ko	ryesuta	pe	Bob	2

lvlfRvU6hzk	2023-10-21	N	Series|NA|Idol Throwdown|v. 2.0	
1654	ay	Akuadynasty	fu	vikarus	1
1788	ay	Akuadynasty	fu	vikarus	1
2068	co	AaronCube	ko	Boom Divorced	1
2169	co	AaronCube	ko	Boom Divorced	1
2527	ko	Mastah_CJ	so	Bloo	1
2696	ko	Mastah_CJ	so	Bloo	1
2955	co	CrunchyFrog	fu	Chzchan	1
3098	co	CrunchyFrog	fu	Chzchan	2
3215	co	CrunchyFrog	fu	Chzchan	2
3490	pe	wazim	ay	Akuadynasty	2
3617	pe	wazim	ay	Akuadynasty	2
4362	fu	Chzchan	ay	Akuadynasty	2
4483	fu	Chzchan	ay	Akuadynasty	1
4653	fu	Chzchan	ay	Akuadynasty	1
4877	ko	Mastah_CJ	co	AaronCube	1
4999	ko	Mastah_CJ	co	AaronCube	1
5243	pe	wazim	co	CrunchyFrog	1
5469	pe	wazim	co	CrunchyFrog	1
5826	ko	Boom Divorced	so	Bloo	1
6175	ko	Boom Divorced	ay	Bloo	2
6475	ko	Boom Divorced	ay	Bloo	1
6723	pe	wazim	ak	AaronCube	1
6879	pe	wazim	ak	AaronCube	1
7278	ay	Akuadynasty	ko	Boom Divorced	1
7438	ay	Akuadynasty	ko	Boom Divorced	2
7589	ay	Akuadynasty	ko	Boom Divorced	2
8002	ko	Mastah_CJ	fu	Chzchan	1
8176	ko	Mastah_CJ	fu	Chzchan	1
8399	ko	Mastah_CJ	fu	Chzchan	1
8667	pe	wazim	ko	Boom Divorced	2
8998	pe	wazim	ko	Boom Divorced	2
9349	ko	Boom Divorced	fu	Chzchan	1
9546	ko	Boom Divorced	fu	Chzchan	1
9736	ko	Boom Divorced	fu	Chzchan	2
10074	ko	Boom Divorced	fu	Chzchan	1
10398	ko	Boom Divorced	ko	Mastah_CJ	2
10578	ko	Boom Divorced	ko	Mastah_CJ	1
10756	ko	Boom Divorced	ko	Mastah_CJ	1
10879	ko	Boom Divorced	ko	Mastah_CJ	2
11182	ko	Boom Divorced	ko	Mastah_CJ	2

uYVygKCS7VQ	2023-11-04	N	Series|NA|Idol Throwdown|v. 3.0	
322	pe	YoFavScrub	ol	Bloo	1
452	pe	YoFavScrub	ol	Bloo	2
607	pe	YoFavScrub	ol	Bloo	1
876	ol	DFAxCalamity	fu	vikarus	2
1063	ol	DFAxCalamity	fu	vikarus	2
1370	fu	Violingolfer	ko	Mastrcheap	1
1577	fu	Violingolfer	ko	Mastrcheap	2
1683	fu	Violingolfer	ko	Mastrcheap	2
2094	pe	Library	pe	Vexing_Rose	1
2232	pe	Library	pe	Vexing_Rose	2
2323	pe	Library	pe	Vexing_Rose	1
2665	ko	Boom Divorced	ko	Mastah_CJ	2
2824	ko	Boom Divorced	ko	Mastah_CJ	2
3065	fu	Chzchan	pe	YoFavScrub	2
3565	fu	Chzchan	pe	YoFavScrub	1
3657	fu	Chzchan	pe	YoFavScrub	2
3908	ko	Mastah_CJ	so	Primity	1
4107	ko	Mastah_CJ	so	Primity	1
4454	pe	YoFavScrub	ay	Akuadynasty	2
4552	pe	YoFavScrub	ay	Akuadynasty	2
4932	ko	Boom Divorced	pe	wazim	1
5216	ko	Boom Divorced	pe	wazim	2
5352	ko	Boom Divorced	pe	wazim	1
5663	bo	Library	fu	Chzchan	1
5824	bo	Library	fu	Chzchan	1
6036	ko	Boom Divorced	pe	YoFavScrub	1
6185	ko	Boom Divorced	pe	YoFavScrub	1
6414	bo	Library	so	Primity	2
6557	bo	Library	so	Primity	2
6885	so	Primity	ko	Boom Divorced	1
7087	so	Primity	ko	Boom Divorced	1
7408	fu	vikarus	ol	Bloo	1
7506	fu	vikarus	ol	Bloo	1
7600	fu	vikarus	ol	Bloo	1
7755	fu	vikarus	ay	Bloo	1
7974	fu	vikarus	ol	Bloo	2
8132	fu	vikarus	ol	Bloo	1
8291	fu	vikarus	ol	Bloo	2
8415	fu	vikarus	ol	Bloo	2
8697	ko	Mastah_CJ	ay	Akuadynasty	1
8878	ko	Mastah_CJ	ay	Akuadynasty	1
8984	ko	Mastah_CJ	ay	Akuadynasty	1
9279	so	Primity	ay	Akuadynasty	2
9460	so	Primity	ay	Akuadynasty	1
9669	so	Primity	ay	Akuadynasty	1
9858	so	Primity	ay	Akuadynasty	1
10135	ko	Mastah_CJ	so	Primity	1
10461	ko	Mastah_CJ	so	Primity	2
10563	ko	Mastah_CJ	so	Primity	2
10754	ko	Mastah_CJ	so	Primity	2
10945	ko	Mastah_CJ	so	Primity	2
11129	ko	Mastah_CJ	so	Primity	2
11278	ko	Mastah_CJ	so	Primity	2

q8I-2kJETIw	2023-10-21	N	Series|JP/SEA|Japan Night Showdown|v. 2.0	
22	pe	Bob	su	Koushun	1
115	pe	Bob	su	Koushun	2
254	pe	Bob	su	Koushun	1

a43X_nYWBOc	2023-10-07	N	Series|JP/SEA|Japan Night Showdown|v. 2.0	
33	ko	Luchan	ak	tetora	1
168	ko	Luchan	ak	tetora	1

